Number of frames: 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z
15,-187.8117371,846.104248,-3092.834229,-195.5352325,873.5073242,-3081.673828,-137.0111694,859.2139282,-3067.02002,-119.8769684,872.7484131,-3056.102783,-59.34672928,877.9443359,-3038.494141,-72.45978546,859.6047974,-3068.396973,-170.0886078,693.4423828,-2952.838135,-160.5320435,729.0648193,-2986.496582,-209.1734161,731.0540161,-2997.865967,-218.5533447,695.3425293,-2964.358154
16,-187.8094482,846.1135864,-3092.855225,-195.5346985,873.5039673,-3081.676025,-137.008255,859.2088623,-3067.020996,-119.8793945,872.7425537,-3056.091797,-59.34877777,877.9396973,-3038.487793,-72.45960236,859.6016235,-3068.389648,-170.0823059,693.418396,-2952.859619,-160.5275879,729.041626,-2986.498047,-209.1696167,731.036438,-2997.875732,-218.5486908,695.3191528,-2964.361816
17,-187.8146362,846.1176758,-3092.863281,-195.5336609,873.5091553,-3081.682617,-137.0135193,859.2073364,-3067.01416,-119.8794861,872.7412109,-3056.094482,-59.34827042,877.9431763,-3038.490479,-72.46057892,859.5991211,-3068.381836,-170.1061249,693.4290771,-2952.875732,-160.5473022,729.0462036,-2986.503418,-209.1871643,731.0394897,-2997.891357,-218.5669403,695.3225098,-2964.361084
18,-187.8181458,846.1119995,-3092.852295,-195.5383453,873.5076294,-3081.677246,-137.0168762,859.2055664,-3067.005859,-119.8775253,872.7429199,-3056.097168,-59.34856033,877.9468384,-3038.505615,-72.46127319,859.6004639,-3068.386719,-170.1690826,693.4441528,-2952.849854,-160.5925903,729.0585327,-2986.485107,-209.2256622,731.0552368,-2997.896973,-218.6229248,695.34552,-2964.372803
19,-187.8181305,846.1137085,-3092.839111,-195.5375061,873.5076294,-3081.670898,-137.0162659,859.2064819,-3067.016113,-119.8795624,872.7412109,-3056.099854,-59.349617,877.94104,-3038.495605,-72.46143341,859.6003418,-3068.394287,-170.2592773,693.4709473,-2952.81543,-160.6581879,729.0708618,-2986.445068,-209.2861176,731.0786133,-2997.900146,-218.7102051,695.3804321,-2964.385254
20,-187.8167267,846.1146851,-3092.839111,-195.533905,873.503479,-3081.652588,-137.0174408,859.2041016,-3067.003418,-119.8818359,872.7416382,-3056.098633,-59.34986496,877.9406738,-3038.490479,-72.46209717,859.5955811,-3068.383301,-170.3644257,693.5184937,-2952.795166,-160.7338867,729.1051025,-2986.431396,-209.3563232,731.1127319,-2997.910156,-218.805481,695.4284668,-2964.400635
21,-187.818985,846.1161499,-3092.831055,-195.5381775,873.5059814,-3081.655029,-137.0211029,859.2079468,-3067.023438,-119.8808212,872.7337036,-3056.08252,-59.3494072,877.9407349,-3038.490479,-72.46065521,859.5941162,-3068.386719,-170.4687653,693.572876,-2952.770508,-160.8063049,729.1532593,-2986.427002,-209.4217377,731.1651001,-2997.940918,-218.8988953,695.4876709,-2964.412598
22,-187.8261261,846.116272,-3092.818848,-195.5390625,873.5056763,-3081.652344,-137.0212402,859.2056885,-3067.010742,-119.8807755,872.7366943,-3056.089844,-59.35308838,877.9385376,-3038.485107,-72.46367645,859.5941162,-3068.387207,-170.562439,693.6241455,-2952.745605,-160.8737793,729.197998,-2986.418701,-209.4810791,731.2238159,-2997.97876,-218.9879608,695.5481567,-2964.419434
23,-187.8278809,846.1299438,-3092.848145,-195.5393982,873.5109253,-3081.666504,-137.0182495,859.2017212,-3066.995605,-119.8819046,872.7338867,-3056.080322,-59.35502243,877.9416504,-3038.49585,-72.46570587,859.5935669,-3068.384521,-170.647171,693.6661377,-2952.74585,-160.9354248,729.2304077,-2986.411133,-209.5353241,731.267334,-2998.000977,-219.0624084,695.5965576,-2964.429932
24,-187.8292694,846.1329346,-3092.844971,-195.5365448,873.5135498,-3081.676758,-137.0197754,859.2107544,-3067.032471,-119.8796768,872.7311401,-3056.07373,-59.35276032,877.9403687,-3038.491699,-72.46518707,859.5881348,-3068.36792,-170.7118835,693.6824951,-2952.741455,-160.9780579,729.248291,-2986.431885,-209.5781403,731.2940674,-2998.018311,-219.1206512,695.6281738,-2964.457764
25,-187.8313751,846.1369629,-3092.854492,-195.5410004,873.5130005,-3081.657471,-137.0236359,859.2028809,-3067.007568,-119.883316,872.7335815,-3056.087402,-59.35222626,877.9381104,-3038.481934,-72.46942902,859.5890503,-3068.365479,-170.7505493,693.6783447,-2952.76123,-161.0065613,729.2459717,-2986.446045,-209.6039886,731.3045654,-2998.034912,-219.1601563,695.6346436,-2964.468262
26,-187.833374,846.1430054,-3092.863281,-195.5399628,873.519104,-3081.669922,-137.0257111,859.2042847,-3067.006836,-119.8853073,872.7328491,-3056.072266,-59.35118485,877.9420776,-3038.493164,-72.47155762,859.5898438,-3068.372803,-170.7742767,693.6639404,-2952.78125,-161.0270844,729.2276001,-2986.452637,-209.6269073,731.3067017,-2998.048096,-219.1888886,695.6373901,-2964.47876
27,-187.834671,846.1350098,-3092.818115,-195.5423737,873.5192261,-3081.668945,-137.0265961,859.2017822,-3066.992676,-119.884613,872.7313232,-3056.066406,-59.35754776,877.9425659,-3038.489014,-72.47265625,859.590271,-3068.380371,-170.8100281,693.6520996,-2952.791992,-161.0515137,729.2149658,-2986.464111,-209.6551514,731.3002319,-2998.045166,-219.2230225,695.6389771,-2964.504395
28,-187.8365631,846.1462402,-3092.852783,-195.542572,873.5205078,-3081.674072,-137.0286407,859.2050781,-3066.999023,-119.8871841,872.7321167,-3056.066895,-59.36029434,877.9386597,-3038.483154,-72.47357941,859.5910034,-3068.379883,-170.858902,693.6409912,-2952.791504,-161.0867462,729.1984863,-2986.435547,-209.6869202,731.2879639,-2998.049072,-219.2677307,695.6295166,-2964.510254
29,-187.8395996,846.1529541,-3092.853027,-195.5441284,873.5202637,-3081.663086,-137.0286865,859.2047119,-3067.011475,-119.8888321,872.732605,-3056.073975,-59.35841751,877.9403076,-3038.486816,-72.47193909,859.5881958,-3068.369385,-170.9009552,693.6320801,-2952.779297,-161.1183777,729.1864624,-2986.418945,-209.7146606,731.2774658,-2998.042969,-219.3049011,695.6221924,-2964.492188
30,-187.8420105,846.1589355,-3092.858887,-195.5415649,873.515625,-3081.650391,-137.032196,859.2006226,-3066.996338,-119.8874435,872.7323608,-3056.067627,-59.3564949,877.9428101,-3038.487793,-72.47598267,859.5908813,-3068.373535,-170.9337463,693.6414795,-2952.743408,-161.1448212,729.1964111,-2986.420654,-209.7332153,731.2843018,-2998.021729,-219.3378143,695.6362915,-2964.475586
31,-187.8433685,846.1561279,-3092.854736,-195.5449219,873.5272827,-3081.68042,-137.0354462,859.208374,-3067.01416,-119.8877335,872.7302856,-3056.060303,-59.3571434,877.9396362,-3038.473877,-72.47640228,859.588623,-3068.37207,-170.9699097,693.6796875,-2952.708252,-161.1728058,729.2280884,-2986.412598,-209.755722,731.3200073,-2998.035156,-219.372818,695.6793213,-2964.477783
32,-187.8417358,846.1589966,-3092.833496,-195.54776,873.5307007,-3081.682129,-137.0350342,859.2078857,-3067.004395,-119.8912964,872.7354126,-3056.067871,-59.3604126,877.9384766,-3038.476807,-72.47746277,859.5895996,-3068.372314,-171.0068512,693.7377319,-2952.695313,-161.1975403,729.2720947,-2986.388672,-209.7776337,731.361084,-2998.046631,-219.4046631,695.7283936,-2964.479248
33,-187.8468323,846.1755981,-3092.87793,-195.5435181,873.53479,-3081.676514,-137.0361481,859.2112427,-3067.016357,-119.890831,872.7334595,-3056.071533,-59.35857773,877.9378662,-3038.470947,-72.4781189,859.5891724,-3068.375977,-171.0354462,693.7870483,-2952.691406,-161.2169189,729.3153076,-2986.383057,-209.7925568,731.3925781,-2998.04834,-219.4299774,695.7683105,-2964.485352
34,-187.8454742,846.1748047,-3092.866455,-195.5425415,873.5341187,-3081.683838,-137.0393219,859.2121582,-3067.016846,-119.8903961,872.7355957,-3056.077881,-59.35635376,877.9388428,-3038.474609,-72.47603607,859.5800171,-3068.352295,-171.047821,693.8067017,-2952.682373,-161.2270355,729.3345337,-2986.387939,-209.7994995,731.4019775,-2998.04541,-219.4405975,695.7844238,-2964.485352
35,-187.8464661,846.1722412,-3092.849365,-195.5432129,873.5296631,-3081.668701,-137.0372467,859.2086182,-3067.004395,-119.8917389,872.7356567,-3056.079834,-59.3575592,877.9446411,-3038.489014,-72.47939301,859.581604,-3068.351807,-171.04216,693.7920532,-2952.669189,-161.2210846,729.3161621,-2986.376465,-209.7937164,731.388916,-2998.034424,-219.433136,695.770813,-2964.459961
36,-187.8455505,846.171936,-3092.84375,-195.5440369,873.5297852,-3081.668701,-137.0394135,859.208313,-3067.009033,-119.8905487,872.7351685,-3056.072998,-59.35992432,877.937439,-3038.469238,-72.47779083,859.5806885,-3068.358154,-171.0148773,693.7573853,-2952.665771,-161.2010651,729.2837524,-2986.369385,-209.7811432,731.3653564,-2998.026855,-219.4097137,695.7427368,-2964.435791
37,-187.8458862,846.1707153,-3092.835693,-195.5414886,873.5325928,-3081.668457,-137.0399933,859.208252,-3067.009033,-119.8942566,872.7340088,-3056.070313,-59.36239243,877.9344482,-3038.466797,-72.4778595,859.574646,-3068.341797,-170.9929962,693.7348022,-2952.67334,-161.187149,729.2609253,-2986.361084,-209.771225,731.3503418,-2998.011963,-219.3944702,695.7282104,-2964.438965
38,-187.8475189,846.1671143,-3092.825928,-195.5445251,873.5345459,-3081.681641,-137.0438995,859.2030029,-3067.003906,-119.8938675,872.7258301,-3056.048828,-59.36075211,877.9313965,-3038.459473,-72.47942352,859.5773926,-3068.354248,-171.0026398,693.739624,-2952.652588,-161.1924896,729.2606201,-2986.334229,-209.7766571,731.3572998,-2997.97998,-219.4033813,695.7409058,-2964.415771
39,-187.8454132,846.1694946,-3092.819336,-195.5458527,873.5280151,-3081.654541,-137.0435028,859.2007446,-3067.000977,-119.8972473,872.7279663,-3056.061768,-59.36016083,877.9350586,-3038.463867,-72.48122406,859.576355,-3068.352051,-171.0393677,693.776123,-2952.619873,-161.2187805,729.2886963,-2986.32666,-209.79953,731.3858643,-2997.981445,-219.4354095,695.7734375,-2964.379395
40,-187.8524323,846.1702271,-3092.817139,-195.5458832,873.5285645,-3081.650879,-137.0462189,859.2002563,-3066.999268,-119.8960342,872.7295532,-3056.066162,-59.3604393,877.93573,-3038.472656,-72.48197937,859.5698853,-3068.335449,-171.0852814,693.8095703,-2952.588379,-161.2540894,729.3192749,-2986.312988,-209.8270721,731.4061279,-2997.98584,-219.4789124,695.8040771,-2964.384521
41,-187.8520508,846.1752319,-3092.83374,-195.5453491,873.5270386,-3081.648193,-137.043045,859.1948242,-3066.988281,-119.8964462,872.7254639,-3056.056396,-59.36216736,877.9321899,-3038.467773,-72.4830246,859.5708008,-3068.34082,-171.1135712,693.8092651,-2952.587646,-161.2734528,729.3200684,-2986.312256,-209.8453827,731.4018555,-2997.981934,-219.5046234,695.8027344,-2964.393799
42,-187.8535614,846.1809082,-3092.85498,-195.545105,873.5302734,-3081.661133,-137.0495453,859.1984253,-3066.993164,-119.8983612,872.7285156,-3056.06665,-59.36196518,877.9325562,-3038.456299,-72.48284912,859.5740356,-3068.358154,-171.1114655,693.7601318,-2952.612305,-161.2705536,729.2754517,-2986.322754,-209.8440247,731.376709,-2997.994385,-219.5005341,695.7641602,-2964.402832
43,-187.8547211,846.1779175,-3092.839111,-195.5470276,873.5396118,-3081.681152,-137.04953,859.1958618,-3067.001953,-119.8976746,872.7300415,-3056.075928,-59.36378098,877.9332886,-3038.467529,-72.48342133,859.5734253,-3068.352783,-171.0835724,693.6765137,-2952.652832,-161.2479858,729.2003784,-2986.330322,-209.8280792,731.3299561,-2997.984131,-219.4793701,695.7094727,-2964.430664
44,-187.8526001,846.1768799,-3092.843018,-195.5450439,873.534729,-3081.674561,-137.043335,859.1905518,-3066.985596,-119.8956299,872.7266235,-3056.06543,-59.36474228,877.9335327,-3038.469727,-72.48490906,859.5701294,-3068.347412,-171.0426483,693.5963135,-2952.695068,-161.2130127,729.1308594,-2986.346436,-209.8053894,731.28125,-2997.9729,-219.4455261,695.6469116,-2964.438477
45,-187.8507385,846.1782837,-3092.847168,-195.548645,873.53479,-3081.67627,-137.0497742,859.1942749,-3067.008057,-119.8971405,872.7250366,-3056.05957,-59.36197662,877.9319458,-3038.463379,-72.48388672,859.5742798,-3068.358154,-171.0072174,693.5460205,-2952.728027,-161.1886902,729.092041,-2986.375,-209.7832489,731.2554932,-2997.978271,-219.4148865,695.6068115,-2964.429688
46,-187.8533173,846.1876831,-3092.856934,-195.5420685,873.5314331,-3081.668701,-137.0490417,859.1940308,-3067.001953,-119.8943329,872.725708,-3056.064941,-59.36310196,877.9280396,-3038.450439,-72.48432159,859.5758667,-3068.361572,-170.9893341,693.5404053,-2952.748291,-161.1743469,729.0893555,-2986.388916,-209.7680359,731.2595215,-2997.980957,-219.3995972,695.6099243,-2964.431641
47,-187.8521271,846.1829834,-3092.845459,-195.541626,873.5372925,-3081.685303,-137.0473633,859.1860962,-3066.977539,-119.8969116,872.7272949,-3056.06543,-59.36720276,877.9334717,-3038.459717,-72.48136902,859.5720215,-3068.349121,-170.9879608,693.5715332,-2952.752686,-161.1702118,729.1153564,-2986.381104,-209.766098,731.2809448,-2997.982666,-219.3971252,695.6373901,-2964.44458
48,-187.8495636,846.1867676,-3092.836426,-195.5403595,873.53479,-3081.668701,-137.0477295,859.1968384,-3067.005615,-119.8965759,872.723877,-3056.053955,-59.36442947,877.9390869,-3038.48291,-72.47854614,859.5728149,-3068.352539,-170.9977722,693.604126,-2952.742676,-161.1762085,729.1470337,-2986.372803,-209.7703705,731.3067627,-2997.97998,-219.4035645,695.6661987,-2964.439453
49,-187.8512421,846.1929321,-3092.848145,-195.5424347,873.5313721,-3081.655029,-137.0499268,859.1993408,-3067.010498,-119.8975601,872.7299194,-3056.076172,-59.36097717,877.9370117,-3038.476807,-72.48012543,859.578125,-3068.36499,-170.9987488,693.6185913,-2952.729004,-161.1750031,729.1612549,-2986.365723,-209.7663116,731.3279419,-2997.975098,-219.4055176,695.6887207,-2964.438477
50,-187.8527985,846.1950073,-3092.852295,-195.543869,873.5365601,-3081.670166,-137.0480042,859.2006836,-3067.008789,-119.8973618,872.7335205,-3056.072998,-59.36368179,877.9391479,-3038.466797,-72.48381805,859.5718384,-3068.344971,-170.9895935,693.6183472,-2952.743652,-161.1662903,729.1600952,-2986.366699,-209.7616272,731.3388062,-2997.968262,-219.4002075,695.6950684,-2964.439209
51,-187.8541718,846.1972656,-3092.849121,-195.5416565,873.5335693,-3081.64917,-137.0484009,859.2000122,-3067.004395,-119.8966599,872.7266235,-3056.052246,-59.35980606,877.9382935,-3038.46875,-72.48326111,859.5698853,-3068.34668,-170.9894562,693.6018066,-2952.750732,-161.1651001,729.1519775,-2986.382568,-209.7640839,731.3355713,-2997.946533,-219.3986511,695.6915283,-2964.435303
